time,gFx,gFy,gFz,Class
1552296641.51,538.752,866.688,312.320,1
1552296641.52,534.848,870.592,331.840,1
1552296641.53,527.040,878.400,324.032,1
1552296641.54,499.712,858.880,331.840,1
1552296641.55,484.096,847.168,335.744,1
1552296641.56,452.864,823.744,343.552,1
1552296641.57,456.768,812.032,339.648,1
1552296641.58,460.672,827.648,343.552,1
1552296641.59,480.192,823.744,343.552,1
1552296641.60,476.288,808.128,331.840,1
1552296641.61,495.808,812.032,324.032,1
1552296641.62,499.712,819.840,324.032,1
1552296641.63,530.944,839.360,320.128,1
1552296641.64,527.040,819.840,343.552,1
1552296641.65,523.136,823.744,347.456,1
1552296641.66,519.232,815.936,355.264,1
1552296641.67,527.040,808.128,351.360,1
1552296641.68,523.136,796.416,359.168,1
1552296641.69,519.232,796.416,374.784,1
1552296641.70,515.328,796.416,366.976,1
1552296641.71,523.136,788.608,374.784,1
1552296641.72,530.944,784.704,359.168,1
1552296641.73,523.136,788.608,355.264,1
1552296641.74,530.944,800.320,347.456,1
1552296641.75,530.944,812.032,351.360,1
1552296641.76,530.944,812.032,355.264,1
1552296641.77,507.520,812.032,339.648,1
1552296641.78,519.232,815.936,343.552,1
1552296641.79,530.944,812.032,351.360,1
1552296641.80,527.040,804.224,359.168,1
1552296641.81,534.848,788.608,366.976,1
1552296641.82,530.944,784.704,351.360,1
1552296641.83,550.464,780.800,347.456,1
1552296641.84,538.752,780.800,347.456,1
1552296641.85,538.752,800.320,339.648,1
1552296641.86,530.944,804.224,343.552,1
1552296641.87,534.848,796.416,335.744,1
1552296641.88,538.752,808.128,347.456,1
1552296641.89,546.560,804.224,351.360,1
1552296641.90,554.368,804.224,363.072,1
1552296641.91,569.984,796.416,366.976,1
1552296641.92,569.984,815.936,382.592,1
1552296641.93,554.368,815.936,374.784,1
1552296641.94,530.944,815.936,347.456,1
1552296641.95,503.616,827.648,347.456,1
1552296641.96,488.000,839.360,343.552,1
1552296641.97,464.576,835.456,331.840,1
1552296641.98,472.384,827.648,343.552,1
1552296641.99,464.576,854.976,339.648,1
1552296642.00,484.096,858.880,351.360,1
1552296642.01,460.672,847.168,363.072,1
1552296642.02,460.672,843.264,347.456,1
1552296642.03,468.480,835.456,351.360,1
1552296642.04,484.096,835.456,359.168,1
1552296642.05,484.096,851.072,351.360,1
1552296642.06,503.616,831.552,355.264,1
1552296642.07,507.520,843.264,347.456,1
1552296642.08,480.192,819.840,320.128,1
1552296642.09,468.480,823.744,292.800,1
1552296642.10,460.672,827.648,296.704,1
1552296642.11,468.480,815.936,304.512,1
1552296642.12,460.672,808.128,308.416,1
1552296642.13,433.344,812.032,296.704,1
1552296642.14,437.248,808.128,284.992,1
1552296642.15,429.440,831.552,257.664,1
1552296642.16,433.344,851.072,253.760,1
1552296642.17,448.960,870.592,245.952,1
1552296642.18,472.384,890.112,253.760,1
1552296642.19,464.576,901.824,242.048,1
1552296642.20,452.864,897.920,238.144,1
1552296642.21,468.480,878.400,234.240,1
1552296642.22,464.576,870.592,222.528,1
1552296642.23,511.424,866.688,226.432,1
1552296642.24,499.712,858.880,210.816,1
1552296642.25,542.656,874.496,222.528,1
1552296642.26,558.272,854.976,218.624,1
1552296642.27,585.600,851.072,206.912,1
1552296642.28,577.792,819.840,199.104,1
1552296642.29,554.368,800.320,183.488,1
1552296642.30,534.848,804.224,171.776,1
1552296642.31,515.328,819.840,175.680,1
1552296642.32,515.328,858.880,179.584,1
1552296642.33,523.136,866.688,183.488,1
1552296642.34,523.136,858.880,163.968,1
1552296642.35,523.136,862.784,183.488,1
1552296642.36,542.656,874.496,191.296,1
1552296642.37,562.176,905.728,203.008,1
1552296642.38,538.752,913.536,210.816,1
1552296642.39,527.040,913.536,218.624,1
1552296642.40,511.424,897.920,218.624,1
1552296642.41,523.136,897.920,199.104,1
1552296642.42,527.040,905.728,199.104,1
1552296642.43,515.328,909.632,183.488,1
1552296642.44,515.328,913.536,191.296,1
1552296642.45,491.904,905.728,187.392,1
1552296642.46,448.960,897.920,183.488,1
1552296642.47,429.440,878.400,183.488,1
1552296642.48,409.920,874.496,179.584,1
1552296642.49,398.208,890.112,179.584,1
1552296642.50,394.304,890.112,183.488,1
1552296642.51,386.496,901.824,167.872,1
1552296642.52,402.112,901.824,175.680,1
1552296642.53,398.208,890.112,175.680,1
1552296642.54,413.824,878.400,163.968,1
1552296642.55,421.632,878.400,167.872,1
1552296642.56,448.960,866.688,167.872,1
1552296642.57,476.288,874.496,183.488,1
1552296642.58,503.616,854.976,175.680,1
1552296642.59,507.520,843.264,167.872,1
1552296642.60,534.848,847.168,163.968,1
1552296642.61,542.656,858.880,171.776,1
1552296642.62,554.368,858.880,160.064,1
1552296642.63,566.080,858.880,163.968,1
1552296642.64,593.408,870.592,167.872,1
1552296642.65,589.504,870.592,175.680,1
1552296642.66,577.792,878.400,191.296,1
1552296642.67,577.792,886.208,187.392,1
1552296642.68,569.984,897.920,167.872,1
1552296642.69,562.176,894.016,210.816,1
1552296642.70,519.232,909.632,210.816,1
1552296642.71,476.288,909.632,234.240,1
1552296642.72,409.920,909.632,206.912,1
1552296642.73,343.552,901.824,183.488,1
1552296642.74,300.608,870.592,171.776,1
1552296642.75,327.936,882.304,195.200,1
1552296642.76,413.824,874.496,214.720,1
1552296642.77,511.424,870.592,253.760,1
1552296642.78,597.312,839.360,273.280,1
1552296642.79,640.256,827.648,284.992,1
1552296642.80,628.544,819.840,281.088,1
1552296642.81,620.736,854.976,284.992,1
1552296642.82,593.408,874.496,288.896,1
1552296642.83,566.080,878.400,304.512,1
1552296642.84,562.176,882.304,347.456,1
1552296642.85,562.176,890.112,366.976,1
1552296642.86,542.656,886.208,382.592,1
1552296642.87,534.848,890.112,402.112,1
1552296642.88,519.232,866.688,409.920,1
1552296642.89,491.904,827.648,409.920,1
1552296642.90,488.000,792.512,402.112,1
1552296642.91,460.672,780.800,406.016,1
1552296642.92,468.480,780.800,413.824,1
1552296642.93,456.768,780.800,394.304,1
1552296642.94,445.056,788.608,394.304,1
1552296642.95,445.056,761.280,382.592,1
1552296642.96,409.920,757.376,374.784,1
1552296642.97,413.824,757.376,370.880,1
1552296642.98,406.016,757.376,370.880,1
1552296642.99,402.112,753.472,378.688,1
1552296643.00,398.208,772.992,448.960,1
1552296643.01,409.920,788.608,464.576,1
1552296643.02,417.728,780.800,468.480,1
1552296643.03,425.536,788.608,480.192,1
1552296643.04,448.960,780.800,484.096,1
1552296643.05,452.864,784.704,480.192,1
1552296643.06,484.096,800.320,491.904,1
1552296643.07,499.712,823.744,499.712,1
1552296643.08,519.232,843.264,511.424,1
1552296643.09,523.136,874.496,527.040,1
1552296643.10,527.040,870.592,534.848,1
1552296643.11,511.424,851.072,550.464,1
1552296643.12,491.904,823.744,558.272,1
1552296643.13,452.864,788.608,538.752,1
1552296643.14,421.632,757.376,527.040,1
1552296643.15,409.920,730.048,503.616,1
1552296643.16,390.400,730.048,499.712,1
1552296643.17,394.304,733.952,476.288,1
1552296643.18,378.688,749.568,456.768,1
1552296643.19,370.880,769.088,456.768,1
1552296643.20,370.880,780.800,448.960,1
1552296643.21,386.496,792.512,445.056,1
1552296643.22,378.688,792.512,452.864,1
1552296643.23,374.784,788.608,452.864,1
1552296643.24,363.072,769.088,445.056,1
1552296643.25,355.264,776.896,445.056,1
1552296643.26,359.168,784.704,437.248,1
1552296643.27,370.880,796.416,445.056,1
1552296643.28,398.208,827.648,456.768,1
1552296643.29,409.920,882.304,488.000,1
1552296643.30,460.672,929.152,491.904,1
1552296643.31,476.288,917.440,488.000,1
1552296643.32,472.384,812.032,456.768,1
1552296643.33,433.344,722.240,445.056,1
1552296643.34,398.208,671.488,413.824,1
1552296643.35,370.880,675.392,394.304,1
1552296643.36,363.072,741.760,402.112,1
1552296643.37,359.168,823.744,409.920,1
1552296643.38,386.496,882.304,417.728,1
1552296643.39,409.920,897.920,429.440,1
1552296643.40,398.208,862.784,421.632,1
1552296643.41,402.112,815.936,413.824,1
1552296643.42,386.496,804.224,413.824,1
1552296643.43,398.208,804.224,402.112,1
1552296643.44,406.016,831.552,402.112,1
1552296643.45,413.824,866.688,409.920,1
1552296643.46,417.728,882.304,409.920,1
1552296643.47,421.632,882.304,398.208,1
1552296643.48,433.344,870.592,370.880,1
1552296643.49,429.440,843.264,382.592,1
1552296643.50,437.248,843.264,398.208,1
1552296643.51,441.152,847.168,402.112,1
1552296643.52,460.672,851.072,394.304,1
1552296643.53,460.672,862.784,402.112,1
1552296643.54,472.384,866.688,417.728,1
1552296643.55,472.384,835.456,406.016,1
1552296643.56,452.864,835.456,406.016,1
1552296643.57,452.864,819.840,417.728,1
1552296643.58,448.960,812.032,406.016,1
1552296643.59,456.768,804.224,413.824,1
1552296643.60,445.056,788.608,409.920,1
1552296643.61,452.864,745.664,421.632,1
1552296643.62,425.536,741.760,390.400,1
1552296643.63,421.632,733.952,409.920,1
1552296643.64,406.016,800.320,425.536,1
1552296643.65,417.728,917.440,452.864,1
1552296643.66,445.056,1011.136,468.480,1
1552296643.67,480.192,987.712,476.288,1
1552296643.68,484.096,913.536,472.384,1
1552296643.69,464.576,835.456,452.864,1
1552296643.70,441.152,757.376,433.344,1
1552296643.71,413.824,757.376,425.536,1
1552296643.72,417.728,769.088,390.400,1
1552296643.73,406.016,792.512,386.496,1
1552296643.74,398.208,815.936,378.688,1
1552296643.75,406.016,812.032,363.072,1
1552296643.76,429.440,812.032,359.168,1
1552296643.77,448.960,812.032,359.168,1
1552296643.78,464.576,788.608,363.072,1
1552296643.79,488.000,808.128,359.168,1
1552296643.80,511.424,804.224,366.976,1
1552296643.81,527.040,815.936,370.880,1
1552296643.82,519.232,831.552,363.072,1
1552296643.83,507.520,831.552,363.072,1
1552296643.84,484.096,843.264,370.880,1
1552296643.85,476.288,858.880,382.592,1
1552296643.86,468.480,854.976,374.784,1
1552296643.87,464.576,851.072,382.592,1
1552296643.88,456.768,843.264,386.496,1
1552296643.89,460.672,839.360,390.400,1
1552296643.90,452.864,831.552,402.112,1
1552296643.91,468.480,815.936,398.208,1
1552296643.92,464.576,796.416,398.208,1
1552296643.93,468.480,792.512,406.016,1
1552296643.94,456.768,800.320,409.920,1
1552296643.95,456.768,800.320,406.016,1
1552296643.96,448.960,815.936,398.208,1
1552296643.97,445.056,819.840,386.496,1
1552296643.98,445.056,835.456,370.880,1
1552296643.99,429.440,827.648,386.496,1
1552296644.00,437.248,827.648,378.688,1
1552296644.01,437.248,827.648,374.784,1
1552296644.02,448.960,831.552,378.688,1
1552296644.03,456.768,819.840,386.496,1
1552296644.04,448.960,831.552,390.400,1
1552296644.05,460.672,827.648,390.400,1
1552296644.06,456.768,823.744,402.112,1
1552296644.07,448.960,819.840,386.496,1
1552296644.08,460.672,831.552,386.496,1
1552296644.09,448.960,812.032,394.304,1
1552296644.10,445.056,812.032,394.304,1
1552296644.11,441.152,815.936,402.112,1
1552296644.12,429.440,819.840,406.016,1
1552296644.13,433.344,823.744,394.304,1
1552296644.14,437.248,815.936,402.112,1
1552296644.15,448.960,819.840,394.304,1
1552296644.16,448.960,812.032,409.920,1
1552296644.17,433.344,823.744,402.112,1
1552296644.18,429.440,831.552,390.400,1
1552296644.19,417.728,808.128,398.208,1
1552296644.20,425.536,812.032,406.016,1
1552296644.21,441.152,815.936,402.112,1
1552296644.22,448.960,823.744,398.208,1
1552296644.23,445.056,819.840,398.208,1
1552296644.24,441.152,831.552,398.208,1
1552296644.25,456.768,804.224,394.304,1
1552296644.26,448.960,800.320,417.728,1
1552296644.27,433.344,804.224,402.112,1
1552296644.28,413.824,815.936,374.784,1
1552296644.29,386.496,831.552,370.880,1
1552296644.30,351.360,862.784,355.264,1
1552296644.31,331.840,870.592,351.360,1
1552296644.32,335.744,870.592,347.456,1
1552296644.33,347.456,866.688,347.456,1
1552296644.34,398.208,847.168,347.456,1
1552296644.35,452.864,827.648,366.976,1
1552296644.36,511.424,815.936,394.304,1
1552296644.37,558.272,823.744,409.920,1
1552296644.38,550.464,827.648,437.248,1
1552296644.39,530.944,835.456,425.536,1
1552296644.40,511.424,835.456,441.152,1
1552296644.41,503.616,808.128,413.824,1
1552296644.42,468.480,812.032,409.920,1
1552296644.43,441.152,792.512,390.400,1
1552296644.44,437.248,800.320,355.264,1
1552296644.45,437.248,796.416,366.976,1
1552296644.46,445.056,812.032,378.688,1
1552296644.47,456.768,812.032,398.208,1
1552296644.48,480.192,812.032,398.208,1
1552296644.49,491.904,827.648,398.208,1
1552296644.50,527.040,835.456,398.208,1
1552296644.51,511.424,847.168,390.400,1
1552296644.52,515.328,847.168,390.400,1
1552296644.53,503.616,815.936,390.400,1
1552296644.54,503.616,804.224,370.880,1
1552296644.55,507.520,812.032,398.208,1
1552296644.56,491.904,819.840,386.496,1
1552296644.57,464.576,835.456,386.496,1
1552296644.58,441.152,854.976,363.072,1
1552296644.59,394.304,858.880,382.592,1
1552296644.60,386.496,854.976,382.592,1
1552296644.61,363.072,858.880,406.016,1
1552296644.62,355.264,866.688,406.016,1
1552296644.63,363.072,862.784,413.824,1
1552296644.64,331.840,847.168,402.112,1
1552296644.65,331.840,851.072,370.880,1
1552296644.66,324.032,843.264,363.072,1
1552296644.67,327.936,843.264,355.264,1
1552296644.68,327.936,835.456,359.168,1
1552296644.69,339.648,823.744,355.264,1
1552296644.70,359.168,819.840,366.976,1
1552296644.71,382.592,804.224,394.304,1
1552296644.72,409.920,792.512,409.920,1
1552296644.73,456.768,804.224,417.728,1
1552296644.74,491.904,788.608,433.344,1
1552296644.75,530.944,796.416,413.824,1
1552296644.76,558.272,804.224,394.304,1
1552296644.77,581.696,804.224,398.208,1
1552296644.78,558.272,808.128,398.208,1
1552296644.79,530.944,823.744,378.688,1
1552296644.80,480.192,827.648,370.880,1
1552296644.81,429.440,847.168,366.976,1
1552296644.82,406.016,854.976,366.976,1
1552296644.83,359.168,870.592,370.880,1
1552296644.84,347.456,897.920,370.880,1
1552296644.85,312.320,917.440,370.880,1
1552296644.86,316.224,890.112,351.360,1
1552296644.87,308.416,894.016,327.936,1
1552296644.88,308.416,897.920,320.128,1
1552296644.89,300.608,917.440,312.320,1
1552296644.90,300.608,921.344,324.032,1
1552296644.91,324.032,940.864,327.936,1
1552296644.92,347.456,925.248,324.032,1
1552296644.93,390.400,913.536,324.032,1
1552296644.94,425.536,882.304,331.840,1
1552296644.95,472.384,854.976,343.552,1
1552296644.96,507.520,831.552,363.072,1
1552296644.97,558.272,823.744,351.360,1
1552296644.98,562.176,815.936,363.072,1
1552296644.99,554.368,819.840,370.880,1
1552296645.00,452.864,800.320,355.264,1
1552296645.01,464.576,804.224,351.360,1
1552296645.02,456.768,808.128,351.360,1
1552296645.03,472.384,800.320,370.880,1
1552296645.04,472.384,823.744,366.976,1
1552296645.05,491.904,823.744,359.168,1
1552296645.06,499.712,839.360,339.648,1
1552296645.07,476.288,847.168,312.320,1
1552296645.08,445.056,870.592,316.224,1
1552296645.09,429.440,886.208,296.704,1
1552296645.10,413.824,897.920,343.552,1
1552296645.11,370.880,917.440,331.840,1
1552296645.12,359.168,925.248,363.072,1
1552296645.13,347.456,913.536,366.976,1
1552296645.14,324.032,874.496,355.264,1
1552296645.15,343.552,854.976,347.456,1
1552296645.16,343.552,851.072,359.168,1
1552296645.17,355.264,858.880,343.552,1
1552296645.18,386.496,858.880,308.416,1
1552296645.19,425.536,866.688,324.032,1
1552296645.20,452.864,851.072,327.936,1
1552296645.21,515.328,843.264,308.416,1
1552296645.22,554.368,847.168,312.320,1
1552296645.23,589.504,823.744,324.032,1
1552296645.24,609.024,800.320,331.840,1
1552296645.25,585.600,796.416,316.224,1
1552296645.26,566.080,792.512,312.320,1
1552296645.27,530.944,796.416,312.320,1
1552296645.28,503.616,800.320,316.224,1
1552296645.29,484.096,815.936,327.936,1
1552296645.30,456.768,843.264,351.360,1
1552296645.31,437.248,847.168,343.552,1
1552296645.32,425.536,847.168,320.128,1
1552296645.33,413.824,858.880,316.224,1
1552296645.34,425.536,870.592,308.416,1
1552296645.35,441.152,874.496,316.224,1
1552296645.36,468.480,878.400,320.128,1
1552296645.37,491.904,878.400,335.744,1
1552296645.38,507.520,862.784,327.936,1
1552296645.39,515.328,843.264,324.032,1
1552296645.40,519.232,823.744,312.320,1
1552296645.41,503.616,819.840,308.416,1
1552296645.42,499.712,815.936,304.512,1
1552296645.43,491.904,827.648,300.608,1
1552296645.44,491.904,843.264,316.224,1
1552296645.45,476.288,827.648,316.224,1
1552296645.46,480.192,843.264,308.416,1
1552296645.47,491.904,831.552,300.608,1
1552296645.48,511.424,827.648,300.608,1
1552296645.49,507.520,831.552,300.608,1
1552296645.50,519.232,827.648,308.416,1
1552296645.51,530.944,812.032,316.224,1
1552296645.52,546.560,808.128,312.320,1
1552296645.53,546.560,804.224,312.320,1
1552296645.54,546.560,796.416,312.320,1
1552296645.55,546.560,808.128,300.608,1
1552296645.56,530.944,823.744,296.704,1
1552296645.57,515.328,827.648,284.992,1
1552296645.58,515.328,835.456,288.896,1
