standard_deviation_y,energy,Activity
435.06539847884306,982928247157.5592,3
21.060019555276355,961806548195.4552,1
259.41165256207694,1066023829464.6152,3
20.367674109359342,957434367753.1506,1
64.0429223179441,940297381220.4283,2
7.134060782048015,942687998218.2402,2
81.16916946755475,1007740725610.6708,0
286.1193264945507,1016307215266.434,3
53.90563089684128,979632384905.5764,0
15.97217828959121,966614678244.5973,1
364.1975456309133,1003319452604.2454,3
292.4303840363101,976367646618.2958,3
13.364381301128597,960882319347.7504,1
150.14469942055527,992625661239.9918,3
418.6580501995168,991315497191.202,3
41.72589931999337,979990474195.2256,0
14.482031992574644,967075594411.2627,1
15.606398359282716,954720540979.6725,1
110.19965417768364,1039837247459.6836,0
17.278000948072663,961536334523.8583,1
15.694527799028839,957822111437.8923,1
91.23922517621611,1021900100601.4581,0
27.08617642186263,956330463707.982,1
116.10602474890995,1046354165865.6241,0
10.603892527926813,955765016176.641,1
25.87206128125774,958190190443.4691,1
281.00879721056293,999031206300.5165,3
41.92166309359187,940436218936.7786,2
86.74388503680782,1015160290854.0209,0
86.88186858811503,1021381051609.6324,0
364.4103287685624,992879259267.5413,3
106.40211743465008,1026355926011.8717,0
354.71647252050906,1021089174690.038,3
285.3287216275291,1014586552208.8373,3
101.32983896290811,1023690116681.6329,0
7.3014860863495095,940181502501.785,2
54.364043406982404,959355897596.6064,1
14.61405879464475,960718649585.6707,1
82.65005350079494,1009551030459.8281,0
10.303988231325235,936272968221.1908,2
6.311131262565632,937255226400.5856,2
98.83817795474783,1030685708790.7205,0
17.036590606944284,965065036134.8243,1
326.7684015795146,1044044935191.1462,3
23.052515788488005,937872885029.4705,2
20.893314975767307,964220439443.4838,1
101.53305874307016,1029227649143.8302,0
11.864813446302286,938532024100.1306,2
11.07614330902032,938846760718.8179,2
23.971851937677986,964662467454.1075,1
238.58603233736173,1007731674432.9414,3
47.98975712353442,983630942884.4844,0
303.2800312486704,993146839450.1362,3
115.35993726237777,1031059107229.1436,0
26.10071699040725,961709399703.066,1
28.439846565612058,956812755178.6952,1
9.445185896684796,942853560471.02,2
15.352264557363808,942984132697.5637,2
11.144442322752429,942225478650.0371,2
257.7303739103429,975582242578.7163,3
18.008280003746428,962473038701.5769,1
23.377843042409957,943586052499.5244,2
7.447444941436851,939965057702.3379,2
26.251748016411327,960261350381.6736,2
35.944088754090785,941161224530.2255,2
25.13868076381629,959711644712.5752,1
95.72803282039291,1028908197035.1948,0
31.291317004775195,941335202619.7244,2
89.71820647336389,942105004137.4685,2
384.946932498263,990678162268.4169,3
104.28464348212093,1024348310516.6506,0
11.199632958557173,941661768401.7148,2
320.1621099778948,978260392613.3726,3
89.7309615726181,1035558744178.044,0
22.307920442565287,965441583833.8352,1
123.7881168115432,1032172800986.4698,0
44.653523055506184,961244364748.7297,1
342.1278403236425,999023850447.9712,3
52.39070019285823,940966125707.2402,2
19.679670145456086,963681792212.6398,1
18.65349556934928,963395940106.8367,1
27.670238609914446,954231134973.4016,1
22.32274518496922,962882388475.5056,1
30.406677423370162,965049924190.2833,1
300.1676510438099,1036010210783.9529,3
509.00670790568233,1042449093349.6967,3
91.87786007550096,1012708857197.5996,0
25.150447525963965,959846417116.2606,1
19.164879413872306,970218517012.9788,1
251.0657428851831,1034701923140.234,3
108.12399861459477,1048237544801.7177,0
397.28255672684793,1006050218288.4463,3
12.855144779242623,941970700424.2765,2
286.11415101973364,1021606779841.9817,3
50.8643404798223,959555494254.0841,1
94.64347011676658,1029110793702.3903,0
252.57414197551313,975570169457.6208,3
37.0595509601626,964998017172.2633,1
162.34133281175684,1007543757593.8167,3
12.061104916873175,957279453300.1158,1
235.83350492618717,1020290938637.0162,3
120.86918766690542,1045691909467.9237,0
37.537563404175415,980183952017.2559,0
404.25834851908826,1047478916212.5248,3
423.90280858954054,1010041213322.5657,3
93.0647730405862,941991249268.8169,2
106.54029510841968,1018780332361.1339,0
87.8278909816633,1018147632938.4003,0
120.20853151013127,1037699423789.7277,0
55.13535255697765,992713737550.5675,0
338.1765270467589,1019762442351.2433,3
10.457733604477703,942576327108.2297,2
10.951937757602535,941164236938.2823,2
11.164954643685551,953231995383.9573,1
19.03750484491074,941202215827.1893,2
18.9344491912305,960661819635.0844,1
22.566106860388857,941032456984.6737,2
17.197384646721396,944972371682.5079,2
8.299395529946075,942356585193.8019,2
451.4204388647956,1007721759066.0192,3
27.35345632136134,959747298511.5225,1
12.618713356464767,956770688915.7135,1
105.19101952582496,1039091787903.2246,0
19.96969673019153,959835189203.9504,1
29.45893315369041,942308266613.8278,2
99.01137155382688,1023585684227.6385,0
127.46213637356415,942093962784.8754,2
17.059601502934743,959151377691.8048,1
24.73455652536885,941630425270.4773,2
11.54385910452248,939865449777.4069,2
368.95831494404075,983922767620.6306,3
128.58425196544854,1032081035423.5127,0
464.8041474972607,995553527230.1466,3
114.46534195238584,1037894259400.0162,0
24.503882059512303,942089167242.3169,2
112.37670310383653,1019987304531.3945,0
215.7467091387042,1010235296813.8314,3
105.2680828877805,1030007410690.2426,0
31.751455981722934,938094590326.6694,2
418.3235640180034,990270170524.7198,3
235.54588579909964,980154775085.2618,3
84.88185432287607,1002734229392.8944,0
306.65375018681004,1059801721021.3033,3
163.94468162445202,945915088490.1669,2
22.0669827674278,968122198796.3534,1
10.546098388533188,939530951023.4219,2
98.93229486946088,1030251578435.946,0
369.995379853575,1003974765460.4293,3
8.235371072462701,939676202633.9669,2
16.448244608989604,959788731292.2404,1
12.424149039844405,943307399433.4313,2
106.15654164925056,1042525987304.431,0
7.153203366026534,944119960743.8158,2
